"","X","swagger","info","host","basePath","schemes","consumes","produces","paths","definitions","parameters","responses","securityDefinitions","security","tags","externalDocs","title","description","termsOfService","contact","license","version","pam_fit$clustering"
"1","1forge.com",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"2","6-dot-authentiqio.appspot.com",1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
"3","adafruit.com",1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2
"4","adobe.com:aem",1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,2
"5","afterbanks.com",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"6","agco-ats.com",1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
"7","airport-web.appspot.com",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3
"8","amadeus.com",1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,2
"9","amazonaws.com:AWSMigrationHub",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"10","amazonaws.com:acm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"11","amazonaws.com:alexaforbusiness",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"12","amazonaws.com:apigateway",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"13","amazonaws.com:application-autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"14","amazonaws.com:appstream",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"15","amazonaws.com:appsync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"16","amazonaws.com:athena",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"17","amazonaws.com:autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"18","amazonaws.com:autoscaling-plans",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"19","amazonaws.com:batch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"20","amazonaws.com:budgets",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"21","amazonaws.com:ce",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"22","amazonaws.com:cloud9",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"23","amazonaws.com:clouddirectory",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"24","amazonaws.com:cloudformation",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"25","amazonaws.com:cloudfront",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"26","amazonaws.com:cloudhsm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"27","amazonaws.com:cloudhsmv2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"28","amazonaws.com:cloudsearch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"29","amazonaws.com:cloudsearchdomain",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"30","amazonaws.com:cloudtrail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"31","amazonaws.com:codebuild",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"32","amazonaws.com:codecommit",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"33","amazonaws.com:codedeploy",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"34","amazonaws.com:codepipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"35","amazonaws.com:codestar",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"36","amazonaws.com:cognito-identity",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"37","amazonaws.com:cognito-idp",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"38","amazonaws.com:cognito-sync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"39","amazonaws.com:comprehend",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"40","amazonaws.com:config",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"41","amazonaws.com:cur",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"42","amazonaws.com:datapipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"43","amazonaws.com:dax",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"44","amazonaws.com:devicefarm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"45","amazonaws.com:directconnect",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"46","amazonaws.com:discovery",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"47","amazonaws.com:dms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"48","amazonaws.com:ds",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"49","amazonaws.com:dynamodb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"50","amazonaws.com:ec2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"51","amazonaws.com:ecr",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"52","amazonaws.com:ecs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"53","amazonaws.com:elasticache",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"54","amazonaws.com:elasticbeanstalk",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"55","amazonaws.com:elasticfilesystem",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"56","amazonaws.com:elasticloadbalancing",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"57","amazonaws.com:elasticloadbalancingv2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"58","amazonaws.com:elasticmapreduce",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"59","amazonaws.com:elastictranscoder",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"60","amazonaws.com:email",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"61","amazonaws.com:entitlement.marketplace",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"62","amazonaws.com:es",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"63","amazonaws.com:events",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"64","amazonaws.com:firehose",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"65","amazonaws.com:gamelift",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"66","amazonaws.com:glacier",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"67","amazonaws.com:glue",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"68","amazonaws.com:greengrass",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"69","amazonaws.com:guardduty",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"70","amazonaws.com:health",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"71","amazonaws.com:iam",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"72","amazonaws.com:importexport",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"73","amazonaws.com:inspector",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"74","amazonaws.com:iot",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"75","amazonaws.com:iot-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"76","amazonaws.com:iot-jobs-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"77","amazonaws.com:kinesis",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"78","amazonaws.com:kinesis-video-archived-media",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"79","amazonaws.com:kinesis-video-media",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"80","amazonaws.com:kinesisanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4
"81","amazonaws.com:kinesisvideo",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"82","amazonaws.com:kms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"83","amazonaws.com:lambda",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"84","amazonaws.com:lex-models",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"85","amazonaws.com:lightsail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"86","amazonaws.com:logs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"87","amazonaws.com:machinelearning",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"88","amazonaws.com:marketplacecommerceanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"89","amazonaws.com:mediaconvert",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"90","amazonaws.com:medialive",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"91","amazonaws.com:mediapackage",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"92","amazonaws.com:mediastore",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"93","amazonaws.com:mediastore-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"94","amazonaws.com:meteringmarketplace",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"95","amazonaws.com:mobile",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"96","amazonaws.com:mobileanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"97","amazonaws.com:monitoring",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"98","amazonaws.com:mq",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"99","amazonaws.com:mturk-requester",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"100","amazonaws.com:opsworks",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"101","amazonaws.com:opsworkscm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"102","amazonaws.com:organizations",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"103","amazonaws.com:pinpoint",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4
"104","amazonaws.com:polly",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"105","amazonaws.com:pricing",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"106","amazonaws.com:rds",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"107","amazonaws.com:redshift",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"108","amazonaws.com:rekognition",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"109","amazonaws.com:resource-groups",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"110","amazonaws.com:resourcegroupstaggingapi",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"111","amazonaws.com:route53",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4
"112","amazonaws.com:route53domains",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"113","amazonaws.com:runtime.lex",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"114","amazonaws.com:runtime.sagemaker",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"115","amazonaws.com:s3",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4
"116","amazonaws.com:sagemaker",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"117","amazonaws.com:sdb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"118","amazonaws.com:serverlessrepo",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"119","amazonaws.com:servicecatalog",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"120","amazonaws.com:servicediscovery",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"121","amazonaws.com:shield",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"122","amazonaws.com:sms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"123","amazonaws.com:snowball",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"124","amazonaws.com:sns",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"125","amazonaws.com:sqs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"126","amazonaws.com:ssm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"127","amazonaws.com:states",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"128","amazonaws.com:storagegateway",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"129","amazonaws.com:streams.dynamodb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"130","amazonaws.com:sts",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"131","amazonaws.com:support",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"132","amazonaws.com:swf",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"133","amazonaws.com:transcribe",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"134","amazonaws.com:translate",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"135","amazonaws.com:waf",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"136","amazonaws.com:waf-regional",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"137","amazonaws.com:workdocs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"138","amazonaws.com:workmail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"139","amazonaws.com:workspaces",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"140","amazonaws.com:xray",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4
"141","anchore.io",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,2
"142","apache.org:qakka",1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1
"143","apacta.com",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,3
"144","api2cart.com",1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,5
"145","apigee.net:marketcheck-cars",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1
"146","apimatic.io",1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,4
"147","apis.guru",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
"148","apitore.com:2chMatomeFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"149","apitore.com:certificateFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"150","apitore.com:cosineSimilarity",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"151","apitore.com:designFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"152","apitore.com:documentFrequencyApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"153","apitore.com:gameFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"154","apitore.com:japaneseWordnetApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"155","apitore.com:kmeansClusteringByWord2vec",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"156","apitore.com:kuromojiApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"157","apitore.com:languageDetectionApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"158","apitore.com:newsFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"159","apitore.com:pioneerBlogFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"160","apitore.com:rss2jsonApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"161","apitore.com:sentenceSeparatorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"162","apitore.com:sentenceSimilarity",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"163","apitore.com:sentencepieceApis_tweet_",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"164","apitore.com:sentencepieceApis_wikipedia_",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"165","apitore.com:sentimentApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"166","apitore.com:synonymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"167","apitore.com:techFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"168","apitore.com:text2labelByTfidfApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"169","apitore.com:text2labelByWordVectorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"170","apitore.com:travelFeedsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"171","apitore.com:tweetSummarizationApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"172","apitore.com:twitterApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"173","apitore.com:twitterApisWithSentimentByApitoreSentimentApi",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"174","apitore.com:twitterApisWithWord2vecQueryExpansion",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"175","apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"176","apitore.com:url2hrefApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"177","apitore.com:url2htmlApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"178","apitore.com:url2labelByTfidfApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"179","apitore.com:url2labelByWordVectorApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"180","apitore.com:url2srcApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"181","apitore.com:url2textApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"182","apitore.com:word2vecApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"183","apitore.com:wordnetApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"184","apitore.com:wordnetHypernymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"185","apitore.com:wordnetHyponymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"186","apitore.com:wordnetSimilarityApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"187","apitore.com:wordnetSynonymApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"188","apitore.com:wordnetTranslationApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"189","apitore.com:wordsToVectorsApis",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,3
"190","applicationinsights.io:applicationinsights-AppInsights",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,4
"191","appveyor.com",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"192","archive.org:search",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1
"193","archive.org:wayback",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1
"194","art19.com",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,2
"195","ato.gov.au",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,3
"196","aucklandmuseum.com",1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1
"197","authentiq.io",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,4
"198","avaza.com",1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1
"199","aviationdata.systems",1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1
"200","azure.com:advisor",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,6
"201","azure.com:analysisservices",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,6
"202","azure.com:apimanagement",1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,6
